time,1,2,3,4,5,6,7
2013-11-28 00:00:00,0.389,0.389,0.389,0.389,0.389,0.389,0.389
2013-11-28 01:00:00,0.373,0.373,0.373,0.373,0.373,0.373,0.373
2013-11-28 02:00:00,0.367,0.367,0.367,0.367,0.367,0.367,0.367
2013-11-28 03:00:00,0.330,0.330,0.330,0.330,0.330,0.330,0.330
2013-11-28 04:00:00,0.315,0.315,0.315,0.315,0.315,0.315,0.315
2013-11-28 05:00:00,0.316,0.316,0.316,0.316,0.316,0.316,0.316
2013-11-28 06:00:00,0.358,0.358,0.358,0.358,0.358,0.358,0.358
2013-11-28 07:00:00,0.392,0.392,0.392,0.392,0.392,0.392,0.392
2013-11-28 08:00:00,0.413,0.413,0.413,0.413,0.413,0.413,0.413
2013-11-28 09:00:00,0.418,0.418,0.418,0.418,0.418,0.418,0.418
2013-11-28 10:00:00,0.437,0.437,0.437,0.437,0.437,0.437,0.437
2013-11-28 11:00:00,0.465,0.465,0.465,0.465,0.465,0.465,0.465
2013-11-28 12:00:00,0.464,0.464,0.464,0.464,0.464,0.464,0.464
2013-11-28 13:00:00,0.451,0.451,0.451,0.451,0.451,0.451,0.451
2013-11-28 14:00:00,0.448,0.448,0.448,0.448,0.448,0.448,0.448
2013-11-28 15:00:00,0.469,0.469,0.469,0.469,0.469,0.469,0.469
2013-11-28 16:00:00,0.488,0.488,0.488,0.488,0.488,0.488,0.488
2013-11-28 17:00:00,0.491,0.491,0.491,0.491,0.491,0.491,0.491
2013-11-28 18:00:00,0.509,0.509,0.509,0.509,0.509,0.509,0.509
2013-11-28 19:00:00,0.525,0.525,0.525,0.525,0.525,0.525,0.525
2013-11-28 20:00:00,0.539,0.539,0.539,0.539,0.539,0.539,0.539
2013-11-28 21:00:00,0.561,0.561,0.561,0.561,0.561,0.561,0.561
2013-11-28 22:00:00,0.566,0.566,0.566,0.566,0.566,0.566,0.566
2013-11-28 23:00:00,0.570,0.570,0.570,0.570,0.570,0.570,0.570
2013-11-29 00:00:00,0.539,0.539,0.539,0.539,0.539,0.539,0.539
2013-11-29 01:00:00,0.521,0.521,0.521,0.521,0.521,0.521,0.521
2013-11-29 02:00:00,0.513,0.513,0.513,0.513,0.513,0.513,0.513
2013-11-29 03:00:00,0.506,0.506,0.506,0.506,0.506,0.506,0.506
